02013,AleutiansEast,AK
02016,AleutiansWest,AK
02020,Anchorage,AK
02050,Bethel,AK
02060,BristolBay,AK
02068,Denali,AK
02070,Dillingham,AK
02090,FairbanksNorthStar,AK
02100,Haines,AK
02110,Juneau,AK
02122,KenaiPeninsula,AK

02130,KetchikanGateway,AK
02150,KodiakIsland,AK
02164,,,LakeandPeninsula,AK
02170,Matanuska-Susitna,AK
02180,Nome,AK
02185,NorthSlope,AK
02188,NorthwestArctic,AK
02201,PrinceofWales-OuterKetchikan,AK
02220,Sitka,AK
02232,Skagway-Hoonah-Angoon,AK

02240,SoutheastFairbanks,AK
02261,Valdez-Cordova,AK
02270,WadeHampton,AK
02280,Wrangell-Petersburg,AK
02282,Yakutat,AK
02290,Yukon-Koyukuk,AK

01000,ALABAMA
01001,Autauga,AL
01003,Baldwin,AL
01005,Barbour,AL
01007,Bibb,AL
01009,Blount,AL
01011,Bullock,AL
01013,Butler,AL
01015,Calhoun,AL
01017,Chambers,AL
01019,Cherokee,AL
01021,Chilton,AL
01023,Choctaw,AL
01025,Clarke,AL
01027,Clay,AL
01029,Cleburne,AL
01031,Coffee,AL
01033,Colbert,AL
01035,Conecuh,AL
01037,Coosa,AL
01039,Covington,AL
01041,Crenshaw,AL
01043,Cullman,AL
01045,Dale,AL
01047,Dallas,AL
01049,DeKalb,AL
01051,Elmore,AL
01053,Escambia,AL
01055,Etowah,AL
01057,Fayette,AL
01059,Franklin,AL
01061,Geneva,AL
01063,Greene,AL
01065,Hale,AL
01067,Henry,AL
01069,Houston,AL
01071,Jackson,AL
01073,Jefferson,AL
01075,Lamar,AL
01077,Lauderdale,AL
01079,Lawrence,AL
01081,Lee,AL
01083,Limestone,AL
01085,Lowndes,AL
01087,Macon,AL
01089,Madison,AL
01091,Marengo,AL
01093,Marion,AL
01095,Marshall,AL
01097,Mobile,AL
01099,Monroe,AL
01101,Montgomery,AL
01103,Morgan,AL
01105,Perry,AL
01107,Pickens,AL
01109,Pike,AL
01111,Randolph,AL
01113,Russell,AL
01115,St.Clair,AL
01117,Shelby,AL
01119,Sumter,AL
01121,Talladega,AL
01123,Tallapoosa,AL
01125,Tuscaloosa,AL
01127,Walker,AL
01129,Washington,AL
01131,Wilcox,AL
01133,Winston,AL

				

04001,Apache,AZ
04003,Cochise,AZ
04005,Coconino,AZ
04007,Gila,AZ
04009,Graham,AZ
04011,Greenlee,AZ
04012,LaPaz,AZ
04013,Maricopa,AZ
04015,Mohave,AZ
04017,Navajo,AZ
04019,Pima,AZ
04021,Pinal,AZ
04023,SantaCruz,AZ
04025,Yavapai,AZ
04027,Yuma,AZ



05001,Arkansas,AR
05003,Ashley,AR
05005,Baxter,AR
05007,Benton,AR
05009,Boone,AR
05011,Bradley,AR
05013,Calhoun,AR
05015,Carroll,AR
05017,Chicot,AR
05019,Clark,AR
05021,Clay,AR
05023,Cleburne,AR
05025,Cleveland,AR
05027,Columbia,AR
05029,Conway,AR
05031,Craighead,AR
05033,Crawford,AR
05035,Crittenden,AR
05037,Cross,AR
05039,Dallas,AR
05041,Desha,AR
05043,Drew,AR
05045,Faulkner,AR
05047,Franklin,AR
05049,Fulton,AR
05051,Garland,AR
05053,Grant,AR
05055,Greene,AR
05057,Hempstead,AR
05059,HotSpring,AR
05061,Howard,AR
05063,Independence,AR
05065,Izard,AR
05067,Jackson,AR
05069,Jefferson,AR
05071,Johnson,AR
05073,Lafayette,AR
05075,Lawrence,AR
05077,Lee,AR
05079,Lincoln,AR
05081,LittleRiver,AR
05083,Logan,AR
05085,Lonoke,AR
05087,Madison,AR
05089,Marion,AR
05091,Miller,AR
05093,Mississippi,AR
05095,Monroe,AR
05097,Montgomery,AR
05099,Nevada,AR
05101,Newton,AR
05103,Ouachita,AR
05105,Perry,AR
05107,Phillips,AR
05109,Pike,AR
05111,Poinsett,AR
05113,Polk,AR
05115,Pope,AR
05117,Prairie,AR
05119,Pulaski,AR
05121,Randolph,AR
05123,St.Francis,AR
05125,Saline,AR
05127,Scott,AR
05129,Searcy,AR
05131,Sebastian,AR
05133,Sevier,AR
05135,Sharp,AR
05137,Stone,AR
05139,Union,AR
05141,VanBuren,AR
05143,Washington,AR
05145,White,AR
05147,Woodruff,AR
05149,Yell,AR


06001,Alameda,CA
06003,Alpine,CA
06005,Amador,CA
06007,Butte,CA
06009,Calaveras,CA
06011,Colusa,CA
06013,ContraCosta,CA
06015,DelNorte,CA
06017,ElDorado,CA
06019,Fresno,CA
06021,Glenn,CA
06023,Humboldt,CA
06025,Imperial,CA
06027,Inyo,CA
06029,Kern,CA
06031,Kings,CA
06033,Lake,CA
06035,Lassen,CA
06037,LosAngeles,CA
06039,Madera,CA
06041,Marin,CA
06043,Mariposa,CA
06045,Mendocino,CA
06047,Merced,CA
06049,Modoc,CA
06051,Mono,CA
06053,Monterey,CA
06055,Napa,CA
06057,Nevada,CA
06059,Orange,CA
06061,Placer,CA
06063,Plumas,CA
06065,Riverside,CA
06067,Sacramento,CA
06069,SanBenito,CA
06071,SanBernardino,CA
06073,SanDiego,CA
06075,SanFrancisco,CA
06077,SanJoaquin,CA
06079,SanLuisObispo,CA
06081,SanMateo,CA
06083,SantaBarbara,CA
06085,SantaClara,CA
06087,SantaCruz,CA
06089,Shasta,CA
06091,Sierra,CA
06093,Siskiyou,CA
06095,Solano,CA
06097,Sonoma,CA
06099,Stanislaus,CA
06101,Sutter,CA
06103,Tehama,CA
06105,Trinity,CA
06107,Tulare,CA
06109,Tuolumne,CA
06111,Ventura,CA
06113,Yolo,CA
06115,Yuba,CA


08001,Adams,CO
08003,Alamosa,CO
08005,Arapahoe,CO
08007,Archuleta,CO
08009,Baca,CO
08011,Bent,CO
08013,Boulder,CO
08015,Chaffee,CO
08017,Cheyenne,CO
08019,ClearCreek,CO
08021,Conejos,CO
08023,Costilla,CO
08025,Crowley,CO
08027,Custer,CO
08029,Delta,CO
08031,Denver,CO
08033,Dolores,CO
08035,Douglas,CO
08037,Eagle,CO
08039,Elbert,CO
08041,ElPaso,CO
08043,Fremont,CO
08045,Garfield,CO
08047,Gilpin,CO
08049,Grand,CO
08051,Gunnison,CO
08053,Hinsdale,CO
08055,Huerfano,CO
08057,Jackson,CO
08059,Jefferson,CO
08061,Kiowa,CO
08063,KitCarson,CO
08065,Lake,CO
08067,LaPlata,CO
08069,Larimer,CO
08071,LasAnimas,CO
08073,Lincoln,CO
08075,Logan,CO
08077,Mesa,CO
08079,Mineral,CO
08081,Moffat,CO
08083,Montezuma,CO
08085,Montrose,CO
08087,Morgan,CO
08089,Otero,CO
08091,Ouray,CO
08093,Park,CO
08095,Phillips,CO
08097,Pitkin,CO
08099,Prowers,CO
08101,Pueblo,CO
08103,RioBlanco,CO
08105,RioGrande,CO
08107,Routt,CO
08109,Saguache,CO
08111,SanJuan,CO
08113,SanMiguel,CO
08115,Sedgwick,CO
08117,Summit,CO
08119,Teller,CO
08121,Washington,CO
08123,Weld,CO
08125,Yuma,CO



09001,Fairfield,CT
09003,Hartford,CT
09005,Litchfield,CT
09007,Middlesex,CT
09009,NewHaven,CT
09011,NewLondon,CT
09013,Tolland,CT
09015,Windham,CT







10001,Kent,DE
10003,NewCastle,DE
10005,Sussex,DE



12001,Alachua,FL
12003,Baker,FL
12005,Bay,FL
12007,Bradford,FL
12009,Brevard,FL
12011,Broward,FL
12013,Calhoun,FL
12015,Charlotte,FL
12017,Citrus,FL
12019,Clay,FL
12021,Collier,FL
12023,Columbia,FL
12025,Dade,FL
12027,DeSoto,FL
12029,Dixie,FL
12031,Duval,FL
12033,Escambia,FL
12035,Flagler,FL
12037,Franklin,FL
12039,Gadsden,FL
12041,Gilchrist,FL
12043,Glades,FL
12045,Gulf,FL
12047,Hamilton,FL
12049,Hardee,FL
